source_index,word,category
472,gembel,低俗色情
474,sinting,低俗色情
475,kontol,低俗色情
476,memek,低俗色情
477,primata,低俗色情
477,ngga tau diri,低俗色情
477,embrio cebong,低俗色情
477,tolol,低俗色情
477,goblog,低俗色情
477,dungu,低俗色情
479,dungu,低俗色情
479,idiot,低俗色情
480,budek,低俗色情
481,goblog,低俗色情
483,sinting,涉敏
484,babi,低俗色情
484,cif,低俗色情
485,bangke,低俗色情
486,gembel,低俗色情
487,anjy,低俗色情
487,bencong,涉敏
488,nonjok,暴力恐怖
489,kampret,低俗色情
490,sarap,低俗色情
491,idiot,价值观
493,brengsek,低俗色情
494,tai,低俗色情
494,pelakor,低俗色情
494,bajingan,低俗色情
494,neraka,低俗色情
495,goblok,低俗色情
495,slutsharming,低俗色情
496,brengsek,低俗色情
497,anjir,低俗色情
499,fitnah,涉敏
500,kasar bacot,低俗色情
501,sompret,低俗色情
502,tai,低俗色情
504,anjing,低俗色情
505,bego,低俗色情
506,memek,低俗色情
506,sexynyaa,低俗色情
508,bolot,低俗色情
508,banget,低俗色情
509,brengsek,低俗色情
510,bolot',低俗色情
512,goblok,低俗色情
513,gituin,低俗色情
513,tolol,涉敏
515,banci,涉敏
516,setan iblis,低俗色情
517,bacot,低俗色情
518,idiot,低俗色情
518,toku,涉敏
519,bacot,低俗色情
519,pecun,低俗色情
520,tolol,低俗色情
521,sarap,低俗色情
522,tolol,低俗色情
523,bego,低俗色情
524,asu,低俗色情
526,tai,低俗色情
527,bangsat,低俗色情
527,goblog,低俗色情
528,tolol,低俗色情
529,anjir,低俗色情
530,kunyuk,低俗色情
533,bodo amat,低俗色情
534,iblis,宗教
534,tabur kebncian,涉敏
534,sara,涉敏
535,cabul,低俗色情
536,pecun,低俗色情
537,goblok,低俗色情
537,kunyuk,低俗色情
538,kunyuk,低俗色情
539,bencong,涉敏
540,anjir,低俗色情
541,bacot,低俗色情
541,sok alim,价值观
542,banci,涉敏
543,bacot,低俗色情
544,tolol,低俗色情
544,goblok,低俗色情
546,bolot,低俗色情
547,bego,涉敏
548,taik',低俗色情
549,kontol,低俗色情
550,banci,低俗色情
550,rumpi,低俗色情
550,makan tai,低俗色情
550,bangke,低俗色情
550,najis,低俗色情
550,dasar banci,低俗色情
551,banci,低俗色情
551,najis,低俗色情
551,makan tai,低俗色情
551,makan bangke,低俗色情
552,perek,低俗色情
552,ibu lo,低俗色情
552,dool,低俗色情
553,monyet,低俗色情
553,ngak tahu adab dan moral,价值观
554,tolol,低俗色情
554,ngk jelas,宗教
555,bajingan,低俗色情
557,idiot,低俗色情
558,d jajah china,涉政
558,di jajah arab,涉政
558,jual aja negaranya sm as,涉政
558,di tebas,暴力恐怖
559,tolol,低俗色情
559,goblok,低俗色情
560,jelek,低俗色情
560,budek,低俗色情
561,monyet,低俗色情
562,pembual,低俗色情
562,sinting,低俗色情
563,bencong,低俗色情
564,bego,低俗色情
565,bangke,低俗色情
566,bejat,低俗色情
566,bangsat,低俗色情
566,bajingan,低俗色情
567,bajingan,低俗色情
567,tangkap dan bunuh,暴力恐怖
568,kunyuk,低俗色情
569,banci,低俗色情
570,goblok,低俗色情
570,didumay,涉敏
571,anak babi,低俗色情
571,g pake lama,低俗色情
572,nyungsep,低俗色情
572,koe,低俗色情
573,goblog,低俗色情
574,tolol,低俗色情
575,waria,涉敏
575,bencong,涉敏
576,anjir,低俗色情
577,astagaaa,低俗色情
577,pecun,低俗色情
578,memek,低俗色情
579,jancok,低俗色情
579,asu,低俗色情
579,anjing,低俗色情
579,babi,低俗色情
579,kontol,低俗色情
579,jembut,低俗色情
579,bajingan,低俗色情
579,bangsat,低俗色情
579,tempek,低俗色情
579,gendeng,低俗色情
579,taeeekkk,低俗色情
579,banci,低俗色情
580,bajingan,低俗色情
581,memek,低俗色情
581,tembem,低俗色情
582,kampret,低俗色情
583,babi sial,低俗色情
584,dungu,低俗色情
584,bego,低俗色情
584,tolol,低俗色情
585,bego,低俗色情
586,babi,低俗色情
586,dek,低俗色情
587,bego,低俗色情
588,bajingan,低俗色情
589,bego,低俗色情
590,bacot,低俗色情
590,goblok,低俗色情
590,tolol,低俗色情
592,tolol,低俗色情
592,penista agama,宗教
593,kunyuk,低俗色情
594,kontol,低俗色情
595,kunyuk,低俗色情
596,bacot,低俗色情
597,jilat memek,低俗色情
598,ngentot,低俗色情
599,mental,涉敏
599,lempar molotov,暴力恐怖
599,nikah sama monyet,低俗色情
600,bego,低俗色情
601,iblis,宗教
602,boneka kunyuk,低俗色情
603,alay,低俗色情
603,bat tai,低俗色情
603,ew banget,低俗色情
604,belagunya udah selangit,涉敏
604,karma,价值观
605,anjir,低俗色情
606,halah tai,低俗色情
606,ngatain,涉敏
608,jing,低俗色情
608,tai,低俗色情
608,anjlok,低俗色情
608,bacot,低俗色情
609,kampret,低俗色情
610,anjir,低俗色情
611,babi,低俗色情
611,dasar,低俗色情
617,asw,低俗色情
617,wagelaseh,低俗色情
619,javlay,低俗色情
619,kunyuk,低俗色情
619,istipar,低俗色情
620,kunyuk,低俗色情
621,babi,低俗色情
622,bego,低俗色情
624,bajingan,低俗色情
626,gembel,低俗色情
627,sial,低俗色情
628,gembel,低俗色情
630,memek,低俗色情
630,jilatnya,低俗色情
631,anjing,低俗色情
631,pki,涉政
631,laknat,宗教
631,idiot,低俗色情
632,muka tai babi,低俗色情
632,fpi,涉政
632,kasih pelajaran,暴力恐怖
632,agama di hina2,宗教
633,anjing,低俗色情
634,bogel kunyuk,低俗色情
635,babi,低俗色情
636,bajingan,低俗色情
638,cewe gila,低俗色情
638,sinting,低俗色情
638,freak,低俗色情
639,banci,涉敏
639,semwa,涉敏
640,tai,低俗色情
642,anjirr,低俗色情
642,bodo,低俗色情
643,doyan di gagahin,低俗色情
644,bangsat,低俗色情
644,banci,涉敏
644,manatuh,低俗色情
646,tolol,低俗色情
647,memek,低俗色情
648,jual diri,低俗色情
648,goblog,低俗色情
649,tolol,低俗色情
649,goblok,低俗色情
649,muslim,宗教
650,anjir,低俗色情
651,sompret,低俗色情
652,brengsek,低俗色情
653,anjir,低俗色情
654,monyet,涉敏
655,babi,低俗色情
656,tai,低俗色情
657,brengsek,低俗色情
657,pasukan onta 212,涉政
657,uang haram,违法
659,kunyuk,低俗色情
659,cyduk,低俗色情
660,anjing,涉敏
660,bangsaanjing,涉敏
661,bangke,低俗色情
663,budek,低俗色情
663,buta,低俗色情
663,otak mati,低俗色情
664,asu,低俗色情
666,bau bangke tikus,低俗色情
667,bau monyet,低俗色情
668,anjir,低俗色情
669,kunyuk,低俗色情
669,die,低俗色情
672,anjirrrr,低俗色情
672,brengsek,低俗色情
672,bajingan,低俗色情
673,pecun,低俗色情
673,bacotin,低俗色情
674,sinting,低俗色情
676,anjing,低俗色情
676,budek,低俗色情
677,goblog,低俗色情
677,di pupuk,低俗色情
678,kunyuk,涉敏
679,goblok,低俗色情
680,memek,低俗色情
681,ngentot,低俗色情
682,bejad,低俗色情
683,bajingan,低俗色情
685,kunyuk,低俗色情
686,bolot,低俗色情
686,sok pinter,价值观
688,monyet,低俗色情
689,monyet,低俗色情
691,anjir,低俗色情
692,budek,低俗色情
692,tuli,低俗色情
692,pekak,低俗色情
692,tolol,低俗色情
693,banci,低俗色情
693,bencong,低俗色情
693,residivis,违法
694,anjir,低俗色情
696,anjing,低俗色情
696,monyet,低俗色情
699,kampret,低俗色情
699,bongkrek,低俗色情
700,begundal,涉敏
700,kampret,低俗色情
700,bongkrek,涉敏
701,kecoa,低俗色情
701,goblog,低俗色情
702,goblog,低俗色情
703,anjir,低俗色情
704,kunyuk,低俗色情
706,budek,低俗色情
706,tuli,低俗色情
707,kampungan,低俗色情
709,memek,低俗色情
710,anjir,低俗色情
711,anjir,低俗色情
712,anjir,低俗色情
714,bencong,低俗色情
714,banci kaleng,低俗色情
714,gembel warnet,涉敏
715,lgbt,涉敏
715,banci kaleng,低俗色情
716,banci,低俗色情
716,saracen,涉敏
720,monyet,涉敏
721,jembut,低俗色情
721,mati,暴力恐怖
722,tolol,低俗色情
725,memek,低俗色情
725,perek,低俗色情
725,emak lu,低俗色情
727,jahudi,宗教
727,bangke,低俗色情
728,brengsek,低俗色情
728,pengecut,价值观
730,bodo,低俗色情
730,anjer,低俗色情
731,bacot,低俗色情
732,bego,低俗色情
732,lu,低俗色情
733,anjir,低俗色情
734,tai,低俗色情
735,anjir,低俗色情
736,gila,低俗色情
737,banci,涉敏
737,cegan,低俗色情
738,bajingan,低俗色情
738,maho,涉敏
740,sarap,低俗色情
741,bullshit,低俗色情
743,banci,涉敏
744,idiot,低俗色情
746,banci,涉敏
747,anjir,低俗色情
748,bacot,低俗色情
749,kampret,低俗色情
751,bajingan,低俗色情
751,muka bajingan,低俗色情
752,ngentot,低俗色情
753,anjing,低俗色情
753,tolol,低俗色情
754,kunyuk,低俗色情
755,tolol,低俗色情
756,tolol,低俗色情
757,bego,低俗色情
758,anjir,低俗色情
759,kunyuk,低俗色情
759,papih,低俗色情
760,anjir,低俗色情
761,bego,低俗色情
762,babi,低俗色情
762,cocotmu,低俗色情
763,tai babi,低俗色情
763,penjilat bangsa,涉政
763,kutu loncat,涉政
764,azab,暴力恐怖
764,bangke,低俗色情
766,anjir,低俗色情
768,cabul,低俗色情
768,banci,涉敏
771,babi,涉敏
772,memek,低俗色情
773,memek,低俗色情
774,bacot,低俗色情
774,otak timpang,涉敏
775,tolol,低俗色情
776,bunda ngentot,低俗色情
777,ngentot,低俗色情
779,bego,低俗色情
780,bencong,涉敏
781,kunyuk,低俗色情
782,tolol,低俗色情
783,tai,低俗色情
783,gajedot,低俗色情
783,diemin,暴力恐怖
784,anjir,低俗色情
785,goblok,低俗色情
786,kampret,低俗色情
789,anjir,低俗色情
791,idiot,低俗色情
793,kampret,低俗色情
795,pecun,违法
795,pecandu narkoba,违法
796,bangke,低俗色情
798,miskin,涉敏
799,bajingan,低俗色情
800,bodo amat,低俗色情
801,bacot,低俗色情
802,bule,涉敏
802,idiot,价值观
802,njing,低俗色情
802,comberan,低俗色情
802,jual biji,违法
804,ngentot,低俗色情
806,memek,低俗色情
807,bego,低俗色情
807,kotoran onta,低俗色情
807,otak nya somplak,低俗色情
808,kunyuk,低俗色情
809,anjir,低俗色情
810,monyet,涉敏
811,babi,涉敏
812,idiot,低俗色情
812,goblok,低俗色情
812,bloon,低俗色情
814,kunyuk,低俗色情
815,goblok,低俗色情
815,indon,涉敏
816,kunyuk,低俗色情
817,bodoh,低俗色情
817,tolol,低俗色情
818,memek,低俗色情
819,memek,低俗色情
820,memek,低俗色情
820,kontol,低俗色情
821,memek,低俗色情
822,gesek2,低俗色情
822,memek,低俗色情
823,ngentot,低俗色情
824,memek,低俗色情
825,ngentot,低俗色情
826,bolot,低俗色情
827,goblog,低俗色情
828,kunyuk,低俗色情
830,bucin,低俗色情
830,asw,低俗色情
832,kunyuk,低俗色情
834,bodoh,低俗色情
834,tolol,低俗色情
834,otak mu jadi gagal bekerja,低俗色情
835,jelek,低俗色情
835,bay,低俗色情
835,kotor,低俗色情
835,munafik,宗教
835,bejad,低俗色情
837,zina,低俗色情
838,gila,低俗色情
839,bacot,低俗色情
839,bngst,低俗色情
840,iblis,宗教
840,muslim,宗教
842,goblok,低俗色情
843,kunyuk,低俗色情
844,ngentot,低俗色情
845,kibul,低俗色情
845,goblok,低俗色情
845,tolol,低俗色情
846,bego,低俗色情
847,kampret,低俗色情
848,memek,低俗色情
848,anjing,低俗色情
849,kontol,低俗色情
850,anjir,低俗色情
851,goblok,低俗色情
851,bego,低俗色情
852,dajjal,宗教
852,iblis,宗教
852,bu suk,涉敏
854,bencong,低俗色情
854,idiot,低俗色情
854,hina,低俗色情
855,bencong,低俗色情
855,idiot,价值观
855,bloon,价值观
856,bencong,涉敏
856,idiot,涉敏
856,gerwani,涉政
856,mangkal di emperan,低俗色情
858,anjir,低俗色情
860,kampret,低俗色情
861,kunyuk,低俗色情
865,babi,低俗色情
867,bodo,低俗色情
869,bolot,低俗色情
869,kerak otak lumpur,低俗色情
870,otak onta,低俗色情
870,dongok,低俗色情
870,malas,低俗色情
870,bego,低俗色情
870,tolol,低俗色情
871,memek,低俗色情
871,mulus,低俗色情
872,goblog,低俗色情
872,diancuk,低俗色情
872,anjing,低俗色情
872,jiancuk,低俗色情
872,ancuk,低俗色情
872,telek,低俗色情
872,pejuh,低俗色情
