Label,Tweet
2,"USER USER 'Wkwkwkwk tai ociy'\n'ociy kangen sama junev?'\n'jangan jahat sama ka jendeuk'\n\n/ngesend meme/\n\n'ciy, jangan nyebut dia mulu'\n'dasar jomblo'\n'ociy udah move on?'\n\ndah ya hehehe"""
2,"USER sa ingat monyet mana quote ni :')"""
3,USER USER Tenggelam kan kunyuk pengkhianat penghancur bangsa yg satu'a lagi pak URL
3,"USER USER USER ~improvisasi itu lagu..al Qur'an itu tafsir..masak susah mikir gituan..murotal itu improv..Tilawatil Qur'an itu improv..raut mukamu itu tafsir..cara kentutmu itu tafsir..cara ngentot aja tafsir..cara kawin itu tafsir...ngaji yg bener.!!"""
2,"USER Gembel aja bisa kalau cuma fatwa bigitu. (Tabi')"""
1,"USER Yg terbirit birit tunggang langgang lintang pukang dengar suara adzan itu iblis la'natilloh 'alaih"""
3,"USER USER USER hahaha bener lo USER giliran majikan dia mesum 7 taon si kunyuk mingkem USER sok suci pula ngatain 'mikirin sex' muke lacur lu nyuk.."""
3,"USER Dia ..orang to? Rumongso ku ke'te alias monyet"""
2,"USER Okesip otak bolot gue konfyus :')"""
3,"USER USER Emosi gua sama loey hyung anjir gua dah mikir keras maksud eventnya apa sampe tepelongo bego malah diakhir dia cuma bilang 'ini semua cuma mimpi' anjir emosi pangeran \xf0\x9f\x98\xa9"""
2,"21. Kekuranganmu lebih banyak dari kelebihanmu hehehe. \n\n- Suka ngaret. Kalau balas pesan tuh lamaaa banget. \n- Nyebelin. Suka buat aku hipertensi.\n- Suka ngatain aku yang aneh-aneh. I'm okay : )\n- Ngambekan.\n- Lemot.\n- Bolot.\n- Repeat.\n\nIni dah aku buat pas jadi 288c seneng gak?"""
2,"""Ayo Alex, jangan udik.."" gumamnya merutuki diri sendiri.\n\nIa lanjut menulis, \' Atmosfer di planet ini belum cukup baik untuk ditinggali manusia. \''"
2,"bocah pada ngajak nongton galapremiere, ane tanye pelmnye ape? 'Pengabdi Setan' kate doi pade~\n\nane kire dikibulin; egataunye beneran dong brengsek! :)) URL"
3,"""brisik"" YA BISTU LO BRISIK JUGA BAHKAN LBH BRISIK BACOT TOLOL ANJING MANUSIA GA TAU DIRI'"
3,"'Cinta tidak harus memiliki' kata org yg tdk prnah dicintai, wakaka kasian bgt yg suka bilang kya gtu. Cinta itu harus memiliki, bego."""
1,"Dari jurus 'Orang Gila Mengebut Lalat,Ajian Tatar Bayu,Jurus Kunyuk Melempar Buah,Dewa Tidur,Pukulan Matahari,Ajian Ngrogoh Sukmo,Hanya Siulan Kapak Naga Geni 212 Yang Bisa Mengalahkan Dewi Siluman Bukit Tunggul\n#wirosableng \n#siapsableng \nUSER \nUSER URL"
2,"DISEBUT 'KAMPUNGAN' OLEH NAGITA SLAVINA, BEGINI REAKSI AYU TING TING\n\nArtis peran Nagita Slavina secara terus terang menyebut aksi goyang dangdut yang dilakukan Ayu Ting Ting kampungan\n\n#NAGITASLAVINA #AYUTINGTING #RAFFIAHMAD #KAMPUNGAN URL"
1,"Even dah setiap hari tengok pon, still tersenyum. You're so cute. \xf0\x9f\x98\x8d"""
1,FIFA siasat isu `suara monyet' aksi Perancis-Russia URL
1,"""Hah?"" Ari melongo sejenak setelah mendengar ucapan orang yang baru saja meneriakinya. \n\n""Punten, mas, di deket situ ada anjing saya, enggak?"" URL"
3,"iya, jadi gitu ya monyet, anjing! gua gampar lu lama-lama. kesel jadinya astaghfirullah hal'adzim, gaboleh ngomong kasar, maapin 3x, NGENTOT URL"
1,"Jangan suka pamer.. \nKarena gak ada orang yg benar2 peduli tentang apa yg kau pamer kan. \nBukan pujian yg akan kau dapatkan, melainkan mereka akan mengatakan 'KAMPUNGAN'."""
2,Kalau gini mreka pasti pura2 budek \n\xf0\x9f\x98\x81\n\nKH Ma'ruf: Prabowo Jangan Cuma Bikin Gaduh \xe2\x80\x93 VIVA URL
1,"Kata-kata 'bodoh' 'dungu' dan 'idiot' semua secara teknis mengacu pada seseorang dengan nilai IQ di bawah 70. #Psikologi"""
1,"""Kau yang mulai maka kau juga yang harus selesaikan."" (3 idiot). #TweetDSAP'"
1,"""Kita akan belajar giat, dengan penuh dedikasi, tapi bukan hanya untuk lulus ujian."" (3 idiot). #TweetDSAP'"
2,"Lucunya adalah kak pacar nyadain ini telat bgt guys. Gue rasa pengaruh mecin tuh emang bikin kita slow respon/agak bolot gitu. Dia terbirit-birit nelfon gue pas udah di pintu 1 panik nyariin cemilannya dong -,;\n\n'sayang, ketinggalan cemilanku ada di kita?????'\n\nOrgil \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad"""
2,"'mau crita anjir sedih banget'\n'iya crita aja didengerin kok' \n'iya masa ya.......'\n'LAH SAMA'\n\nujung ujungnya dia yg crita, aku yg dengerin :)"""
2,"Nikmat'a ngentot.... Pi gengen yg hoot"""
1,"""Pengetahuan tidak dapat menggantikan persahabatan. Aku (Patrick) lebih suka jadi idiot daripada kehilanganmu (Spongebob)'"
1,"RT USER: USER USER Dia lupa ini twitter, bukan instagram yang kalo foto pasti ada yg komen 'ih cantik' 'cantikan kamu lah\xe2\x80\xa6"""
1,"RT USER: Di zaman sekarang, orang yang paling 'aman' adalah orang yang buta huruf dan budek, atau wong ndeso sing gak eruh opo-opo\xe2\x80\xa6"""
1,"RT USER: Kata-kata 'bodoh' 'dungu' dan 'idiot' semua secara teknis mengacu pada seseorang dengan nilai IQ di bawah 70. #Psikologi"""
2,"'Sayang sekali punya paras nan cantik kumpul ama cowok gembel, dibawa gembel mau, makanya suka gengsi kalo mau pacaran eh lihat difoto-fotonya ada sama cowok gembel, nonkrong pinggir jalan, apa gamalu yah. \xf0\x9f\x98\x82 percuma cantik kalo otaknya murah. \xf0\x9f\x98\x82"""
1,"Scroll insta dak Farah ni tetiba terasa mcam cerita '3 idiot'... Gambaq pra matang semua \xf0\x9f\x98\x82"""
2,"Solo rank di Comeback'n sakit \xf0\x9f\x98\x82\nAne baru tau klo tank takut war \xf0\x9f\x98\x82\n\n#hilda CCd \xf0\x9f\x98\x85\nEmosi bangke \xf0\x9f\x98\x85"""
2,"""teko o rek!""\n\nmksdnya bukan arek, tapi perek'"
1,"""Tidak peduli sesulit apa aku menghadapi sesuatu, aku akan tetap tersenyum seperti orang idiot"" - Chanyeol EXO K'"
2,"Udik sambil takjub gituuu...\n\nGileeee, canggih ye mobil sekarang, berasa naek 'kit reder` (Knight Rider starring David Haselhoff) , bisa ngegas dan ngerem sendiri..."""
1,"Yang broken time ii muda ni, tolonglah jangan lah broken. Korang ada masa depan do. Jangan sebab cinta monyet korang tak dapat nak achieve your freakin' goals though."""
1,#AtongKEPOH Suka gak sama monyet?'
