文本,SARA与仇恨言论,亵渎宗教,淫秽色情与违背风俗,网络赌博,诽谤网暴与勒索,虚假信息与谣言,分裂与极端主义,理由(法律与法规),本地黑话与违规关键词
"model seksi sini ngentot di dm sama gua pref detail fr : Bule",0,0,1,0,0,0,0,公开的私聊网络性行为招募。严重违反UU ITE第27条第1款与《反色情法》,"ngentot, dm"
"noona aku pulang /teriak/ noona dimana?/ngintip kamarnya;kaget liat noona lagi gesekin memek ke bantal/ mmh",0,0,1,0,0,0,0,带有乱伦设定的语爱自慰情节描写。严重违反UU ITE第27条第1款与《反色情法》,memek
"pingin ngobelin memek kamu sambil aku jilatin klitnya hhhmmm",0,0,1,0,0,0,0,极度露骨的性行为与性器官动作描写。严重违反《反色情法》,"ngobelin, memek, klit"
"sange hm, mas mainin memek adek dong sayang",0,0,1,0,0,0,0,明确的性行为邀请与露骨器官指代。严重违反UU ITE第27条第1款与《反色情法》,"sange, memek"
""" Topeng monyet ke Ramayana? Ya. Ya. Ya. Ya. "" URL",0,0,0,0,0,0,0,日常短语交流，完全合规,无
"...Jadi biang kegaduhannya itu PKS. Saya sih gak percaya. Mosok PKS kayak gitu lanjut beliau. Profesor yang nulis itu, kalian jangan keminter sok kontra sama profesor. Beliau menuntut ilmu keliling dunia bukan untuk jadi orang goblog. Yang goblog ya kalian ini! Aku juga.",0,0,0,0,1,0,0,政治辩论中带有粗口。虽然有自嘲成分，但使用贬义词攻击他人愚蠢，属于轻度骚扰与不文明言论,goblog
"USER USER Bapak aku Nor'Azam . Tu Azam gila hahaha",0,0,0,0,0,0,0,朋友间的日常打趣玩笑，合规,gila
"USER USER USER kalo KH Ma'ruf ngomong pada belaga budek , pada belaga pilon, masih nyundul #gantipresiden2019 ?? goblok kok kebangetan? #T3tapJokowi",0,0,0,0,1,0,0,针对政治立场进行的人身攻击，使用明确侮辱性词汇贬低政敌。触犯UU ITE第27条第3款,"budek, goblok"
"USER HUHUHUHU TIBA2 SM KIM BUM PLOT TWIST BANGETTT. SUMPAH AKU TUH UDH RELAIN DIA SM MONYET BENERAN BIAR MONYET MOVE ON EH TAUNYA AMA DIA:')) Jan jangan monyet gaberani deketin dia karna tau udh ada yg punya:(",0,0,0,0,0,0,0,韩流饭圈日常讨论，monyet（猴子）在此语境下是对艺人/角色的昵称或戏谑，无恶意网暴倾向,monyet
"USER USER Dia lupa ini twitter, bukan instagram yang kalo foto pasti ada yg komen 'ih cantik' 'cantikan kamu lah' 'ngga cantikan kamu' 'ih anjing cantikan kamu tau' 'ih babi kamu yang cantik pokoknya' dst.",0,0,0,0,0,0,0,讨论社交平台评论文化，引用的动物粗口（anjing/狗、babi/猪）属于模拟年轻人之间无恶意的夸张赞美表达，合规,"anjing, babi"
"USER USER 'Wkwkwkwk tai ociy' 'ociy kangen sama junev?' 'jangan jahat sama ka jendeuk' /ngesend meme/ 'ciy, jangan nyebut dia mulu' 'dasar jomblo' 'ociy udah move on?' dah ya hehehe",0,0,0,0,0,0,0,熟人/粉丝间的日常聊天，包含极轻微的口语化粗词（tai/屎），不构成网暴,tai
"USER sa ingat monyet mana quote ni :')",0,0,0,0,0,0,0,无恶意的日常吐槽，合规,monyet
"USER USER Tenggelam kan kunyuk pengkhianat penghancur bangsa yg satu'a lagi pak URL",0,0,0,0,1,0,0,严重的政治类人身攻击。将特定人员称为“猴子/畜生”和“叛徒”，触犯反霸凌规则及名誉诽谤,"kunyuk, pengkhianat"
"USER USER USER ~improvisasi itu lagu..al Qur'an itu tafsir..masak susah mikir gituan..murotal itu improv..Tilawatil Qur'an itu improv..raut mukamu itu tafsir..cara kentutmu itu tafsir..cara ngentot aja tafsir..cara kawin itu tafsir...ngaji yg bener.!!",0,1,1,0,0,0,0,极其严重的违规。将《古兰经》诵读等伊斯兰神圣行为与排泄、做爱进行类比。触碰极度敏感的宗教亵渎(Blasphemy)红线，并含有色情词汇,"al Qur'an, tafsir, kentut, ngentot"
"USER Gembel aja bisa kalau cuma fatwa bigitu. (Tabi')",0,1,0,0,1,0,0,带有轻微的宗教侮辱色彩。贬低伊斯兰教令(Fatwa)，称乞丐也能下此教令。易引起宗教群体不满,"Gembel, fatwa"
"USER Yg terbirit birit tunggang langgang lintang pukang dengar suara adzan itu iblis la'natilloh 'alaih",0,0,0,0,0,0,0,引用伊斯兰教常识（恶魔听到宣礼会逃离），属于正常的宗教探讨，合规,adzan
"USER USER USER hahaha bener lo USER giliran majikan dia mesum 7 taon si kunyuk mingkem USER sok suci pula ngatain 'mikirin sex' muke lacur lu nyuk..",0,0,1,0,1,0,0,极度恶劣的网络对骂。将对方称为猴子，并使用具有性侮辱性质的词汇（猥亵、妓女）。同时违反反霸凌与反色情擦边规范,"mesum, kunyuk, lacur, nyuk"
"USER Dia ..orang to? Rumongso ku ke'te alias monyet",0,0,0,0,1,0,0,直接的人身攻击，将他人称作猴子，属于网络霸凌/敌意言论,monyet
"USER Okesip otak bolot gue konfyus :')",0,0,0,0,0,0,0,自嘲自己脑子反应慢（bolot），无恶意，完全合规,bolot
"USER USER Emosi gua sama loey hyung anjir gua dah mikir keras maksud eventnya apa sampe tepelongo bego malah diakhir dia cuma bilang 'ini semua cuma mimpi' anjir emosi pangeran",0,0,0,0,0,0,0,粉丝对偶像活动的情绪表达，包含的粗口（anjir/我靠、bego/蠢）在此语境下为加强语气的口头禅，未产生实际伤害,"anjir, bego"
"21. Kekuranganmu lebih banyak dari kelebihanmu hehehe. - Suka ngaret. Kalau balas pesan tuh lamaaa banget. - Nyebelin. Suka buat aku hipertensi. - Suka ngatain aku yang aneh-aneh. I'm okay : ) - Ngambekan. - Lemot. - Bolot. - Repeat. Ini dah aku buat pas jadi 288c seneng gak?",0,0,0,0,0,0,0,朋友/情侣间带有趣味性的吐槽列表。虽包含轻微贬义词汇但整体语境友好，不构成违规,"lemot, bolot, ngaret"
"Ayo Alex, jangan udik.. gumamnya merutuki diri sendiri. Ia lanjut menulis, ' Atmosfer di planet ini belum cukup baik untuk ditinggali manusia. '",0,0,0,0,0,0,0,故事/小说文本片段。自言自语中出现的贬义词，合规,udik
"bocah pada ngajak nongton galapremiere, ane tanye pelmnye ape? 'Pengabdi Setan' kate doi pade~ ane kire dikibulin; egataunye beneran dong brengsek! :)) URL",0,0,0,0,0,0,0,分享观影趣事。句末的粗口（brengsek/混蛋）用于表达惊讶的语气，非恶意攻击，合规,brengsek
"brisik YA BISTU LO BRISIK JUGA BAHKAN LBH BRISIK BACOT TOLOL ANJING MANUSIA GA TAU DIRI",0,0,0,0,1,0,0,充斥大量大写高强度粗口的恶意对骂，属于严重违背社区规范的网络霸凌与语言暴力,"bacot, tolol, anjing"
"Dari jurus 'Orang Gila Mengebut Lalat,Ajian Tatar Bayu,Jurus Kunyuk Melempar Buah,Dewa Tidur,Pukulan Matahari,Ajian Ngrogoh Sukmo,Hanya Siulan Kapak Naga Geni 212 Yang Bisa Mengalahkan Dewi Siluman Bukit Tunggul\n#wirosableng \n#siapsableng \nUSER \nUSER URL",0,0,0,0,0,0,0,探讨《Wiro Sableng》中的虚构武功招式，完全合规,Kunyuk
"DISEBUT 'KAMPUNGAN' OLEH NAGITA SLAVINA, BEGINI REAKSI AYU TING TING\n\nArtis peran Nagita Slavina secara terus terang menyebut aksi goyang dangdut yang dilakukan Ayu Ting Ting kampungan\n\n#NAGITASLAVINA #AYUTINGTING #RAFFIAHMAD #KAMPUNGAN URL",0,0,0,0,0,0,0,娱乐新闻报道（引用明星间的评价），本身并非恶意攻击用户,kampungan
"Even dah setiap hari tengok pon, still tersenyum. You're so cute. \xf0\x9f\x98\x8d",0,0,0,0,0,0,0,友善的赞美与日常互动（包含马来语），完全合规,无
"FIFA siasat isu `suara monyet' aksi Perancis-Russia URL",0,0,0,0,0,0,0,体育新闻报道（关于FIFA调查种族歧视“猴子叫”事件），属于新闻转述客观报道,monyet
"""Hah?"" Ari melongo sejenak setelah mendengar ucapan orang yang baru saja meneriakinya. \n\n""Punten, mas, di deket situ ada anjing saya, enggak?"" URL",0,0,0,0,0,0,0,小说/故事片段，字面意思询问寻找“狗（anjing）”，非作为脏话使用，合规,anjing
"iya, jadi gitu ya monyet, anjing! gua gampar lu lama-lama. kesel jadinya astaghfirullah hal'adzim, gaboleh ngomong kasar, maapin 3x, NGENTOT URL",0,0,1,0,1,0,0,混合了严重的动物粗口、暴力威胁与色情脏话。触犯名誉诽谤/网络霸凌与反色情规范,"monyet, anjing, ngentot"
"Jangan suka pamer.. \nKarena gak ada orang yg benar2 peduli tentang apa yg kau pamer kan. \nBukan pujian yg akan kau dapatkan, melainkan mereka akan mengatakan 'KAMPUNGAN'.",0,0,0,0,0,0,0,普通的社会现象感悟与建议，指出爱炫耀会被说“土气（kampungan）”，合规,kampungan
"Kalau gini mreka pasti pura2 budek \n\xf0\x9f\x98\x81\n\nKH Ma'ruf: Prabowo Jangan Cuma Bikin Gaduh \xe2\x80\x93 VIVA URL",0,0,0,0,1,0,0,政治评论，使用身体缺陷词汇（budek/聋子）嘲讽政敌，属于轻度人身攻击与网络骚扰,budek
"Kata-kata 'bodoh' 'dungu' dan 'idiot' semua secara teknis mengacu pada seseorang dengan nilai IQ di bawah 70. #Psikologi",0,0,0,0,0,0,0,心理学名词的科普与解释，客观中立，完全合规,"bodoh, dungu, idiot"
"""Kau yang mulai maka kau juga yang harus selesaikan."" (3 idiot). #TweetDSAP'",0,0,0,0,0,0,0,引用电影《三傻大闹宝莱坞》(3 Idiots)的台词，合规,idiot
"""Kita akan belajar giat, dengan penuh dedikasi, tapi bukan hanya untuk lulus ujian."" (3 idiot). #TweetDSAP'",0,0,0,0,0,0,0,引用电影《三傻大闹宝莱坞》(3 Idiots)的台词，合规,idiot
"Lucunya adalah kak pacar nyadain ini telat bgt guys. Gue rasa pengaruh mecin tuh emang bikin kita slow respon/agak bolot gitu. Dia terbirit-birit nelfon gue pas udah di pintu 1 panik nyariin cemilannya dong -,;\n\n'sayang, ketinggalan cemilanku ada di kita?????'\n\nOrgil \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad",0,0,0,0,0,0,0,情侣间的日常分享与打趣，包含的贬义词（bolot, orgil）属爱称与自嘲，不构成违规,"bolot, orgil"
"'mau crita anjir sedih banget'\n'iya crita aja didengerin kok' \n'iya masa ya.......'\n'LAH SAMA'\n\nujung ujungnya dia yg crita, aku yg dengerin :)",0,0,0,0,0,0,0,日常幽默吐槽，anjir为加强语气的口语助词，无攻击性，合规,anjir
"Nikmat'a ngentot.... Pi gengen yg hoot",0,0,1,0,0,0,0,极其露骨的性行为表达与渴望。严重违反UU ITE第27条第1款与《反色情法》,ngentot
"""Pengetahuan tidak dapat menggantikan persahabatan. Aku (Patrick) lebih suka jadi idiot daripada kehilanganmu (Spongebob)'",0,0,0,0,0,0,0,引用动画《海绵宝宝》的台词，合规,idiot
"RT USER: USER USER Dia lupa ini twitter, bukan instagram yang kalo foto pasti ada yg komen 'ih cantik' 'cantikan kamu lah\xe2\x80\xa6",0,0,0,0,0,0,0,关于社交平台用户习惯的讨论，合规,无
"RT USER: Di zaman sekarang, orang yang paling 'aman' adalah orang yang buta huruf dan budek, atau wong ndeso sing gak eruh opo-opo\xe2\x80\xa6",0,0,0,0,0,0,0,社会讽刺性评论，感叹“不知情最安全”，并非针对残障人士的恶意攻击，合规,"budek, ndeso"
"RT USER: Kata-kata 'bodoh' 'dungu' dan 'idiot' semua secara teknis mengacu pada seseorang dengan nilai IQ di bawah 70. #Psikologi",0,0,0,0,0,0,0,转推的心理学科普常识，完全合规,"bodoh, dungu, idiot"
"'Sayang sekali punya paras nan cantik kumpul ama cowok gembel, dibawa gembel mau, makanya suka gengsi kalo mau pacaran eh lihat difoto-fotonya ada sama cowok gembel, nonkrong pinggir jalan, apa gamalu yah. \xf0\x9f\x98\x82 percuma cantik kalo otaknya murah. \xf0\x9f\x98\x82",0,0,0,0,1,0,0,对他人的外貌和交友选择进行恶毒贬低（荡妇/智商羞辱）。违反社区反霸凌规范,"gembel, murah"
"Scroll insta dak Farah ni tetiba terasa mcam cerita '3 idiot'... Gambaq pra matang semua \xf0\x9f\x98\x82",0,0,0,0,1,0,0,针对特定人员（Farah）的社交媒体照片进行直接嘲笑，属于轻度网络霸凌/不友善言论,idiot
"Solo rank di Comeback'n sakit \xf0\x9f\x98\x82\nAne baru tau klo tank takut war \xf0\x9f\x98\x82\n\n#hilda CCd \xf0\x9f\x98\x85\nEmosi bangke \xf0\x9f\x98\x85",0,0,0,0,0,0,0,玩家的游戏吐槽与挫败感发泄，“bangke（死尸/混蛋）”在此为单纯发泄情绪的俚语，未定向攻击他人，合规,bangke
"""teko o rek! mksdnya bukan arek, tapi perek'""",0,0,0,0,1,0,0,利用谐音梗将称呼替换为贬义词“perek(荡妇)”进行粗俗玩笑或辱骂。属于语言暴力与侮辱,perek
"""Tidak peduli sesulit apa aku menghadapi sesuatu, aku akan tetap tersenyum seperti orang idiot"" - Chanyeol EXO K'",0,0,0,0,0,0,0,引用偶像语录用于自我勉励，贬义词在此为自嘲修辞，合规,idiot
"Udik sambil takjub gituuu... Gileeee, canggih ye mobil sekarang, berasa naek 'kit reder` (Knight Rider starring David Haselhoff) , bisa ngegas dan ngerem sendiri...",0,0,0,0,0,0,0,网民对科技进步的感叹，“udik(乡巴佬)”为无恶意的自我调侃，完全合规,udik
"Yang broken time ii muda ni, tolonglah jangan lah broken. Korang ada masa depan do. Jangan sebab cinta monyet korang tak dapat nak achieve your freakin' goals though.",0,0,0,0,0,0,0,给年轻人的情感建议（含马来语习惯），“cinta monyet”为“早恋/青涩之恋”的固定搭配，无贬义，合规,cinta monyet
"#AtongKEPOH Suka gak sama monyet?'",0,0,0,0,0,0,0,普通的日常提问，询问是否喜欢猴子，合规,monyet
"#BeritaIslam: Rabbi Israel Sebut Orang Berkulit Hitam Sebagai “Monyet” Picu Kecaman Keras URL",0,0,0,0,0,0,0,客观转述国际新闻报道，谴责种族主义歧视行为，合规,monyet
"#Boikotindosat ini si kuning taiiii pulsa pagi tadi Rp. 2000 an masih kepotong juga tinggal Rp. 1. padahal gk di ngapain... bener gk menghargai pelanggaan sepertinya. budek... taiiiii'",0,0,0,0,1,0,0,带有极强情绪的消费者宣泄。大量使用排泄物和生理缺陷词汇辱骂企业，属于中度网络暴力与不文明行为,"taiiii, budek"
"#catat!Terimakasih sudah menjadi orang idiot pertama dan terakhir yang membuka hatiku utk mengerti apa itu persahabatan'",0,0,0,0,0,0,0,对朋友表达感激的个性化文案，贬义词“idiot”在此语境下代表亲昵关系，合规,idiot
"#IcanxLove bukan cinta monyet, bukan cinta layaknya remaja lain. perasaan itu bertahan hingga sekarang'",0,0,0,0,0,0,0,个人情感表达，使用“cinta monyet(青涩早恋)”进行对比说明，合规,cinta monyet
"#ICYMI SWAT SFC selamatkan monyet proboscis URL URL",0,0,0,0,0,0,0,关于拯救野生动物（长鼻猴）的客观新闻快讯，合规,monyet
"#ILCPrabowoMenyerang ilc sukses undang orang gila karena ahok kalah ampe lupa potong kuping gila gila gila gila gila beneran \xf0\x9f\x98\x81'",0,0,0,0,1,0,0,激烈的政治站队攻击。对政治反对派进行“orang gila(疯子)”的辱骂，违反社区反霸凌规范,orang gila
"#ILCPrabowoMenyerang setelah minggu lalu ilc enggak mutu, kini sangat luar biasa karena dpt menghadirkan orang gila tampa kuping\xf0\x9f\x98\xb5'",0,0,0,0,1,0,0,针对政治人物身体特征与精神状态的恶意攻击，构成网络霸凌与名誉贬损,orang gila
"#Indobet365 #ResultJapan Keluaran Togel Japan Hari Rabu 28 Maret 2018 Result : 9 1 0 3 Shio : Monyet URL URL",0,0,0,1,0,0,0,明确的网络赌博（Togel/彩票）开奖信息与黑灰产引流。严重违反UU ITE第27条第2款,"Indobet365, Togel"
"#OpenBoSurabaya USER masih online aja kau sempak akun tipu2 bangsat bajingan kai'",0,0,1,0,1,0,0,带有网络招嫖标签(#OpenBO)，同时包含极具攻击性的脏话辱骂（指责对方是诈骗账号）。同时触犯反色情与反网暴规范,"OpenBo, sempak, bangsat, bajingan"
"#persijatakutkalahdijakarta Dasar pLersija, dengkul laler. Banyak alesan lo jakAnjing! Olo olo sia banyak bacot!!!'",0,0,1,0,1,0,0,足球流氓间的恶意对骂。将球队名篡改为带有性器官的侮辱性词汇（pLersija隐含peler/阴茎），并使用动物脏话，违反反霸凌与违背风俗规范,"pLersija, jakAnjing, bacot"
"#rlp disini banyak yeoja yg fwb ngentot rl &amp; foreplay *cuma ngasih tai'",0,0,1,0,0,0,0,语爱(RP)圈子中关于真实性行为（ngentot）和炮友（fwb）的露骨讨论。严重违反《反色情法》,"ngentot, fwb, foreplay"
"#rlp yeoja tantik culik gw donk bawa ke rumah luh .gw nguntungin lo. tar bisa ngentot spuas nya truz bisa di sembelehin ndiri kok'",0,0,1,0,0,0,0,公开的色情角色扮演(RP)及网络性邀约。严重违反《反色情法》与UU ITE相关色情条款,ngentot
"#TemanMakanTeman Itu ketika ujian dia tdk tahu dan kita memberi tahu tp pas kita tdk tahu dia pura2 budek kalau di panggil USER USER #ReuniZ'",0,0,0,0,0,0,0,学生时代关于考试作弊与友情的日常吐槽，“budek(聋子)”仅指代“装聋作哑”的行为，合规,budek
"#TemanMakanTeman Ketika dia udah janji bakalan ngasi nyontek untuk ujian tp pas giliran ujian dia malah pura2 budek USER USER #ReuniZ'",0,0,0,0,0,0,0,学生对于同学不守承诺分享考试答案的抱怨，无恶意攻击，合规,budek
"#Tetes Anjing dan Neraka | Oleh: Emha Ainun Nadjib URL",0,0,0,0,0,0,0,分享印尼著名穆斯林学者(Cak Nun)的散文/文学作品标题。合规,anjing
"*di kantor*
TV: *nayangin berita driver grab yg ngirim death threat ke cewek tuli*
Bundo: *pake suara kecil* ""Tai, ampe di death threat gitu sial""
.
.
.
.
.
kish, kebiasaan lu ngomong jorok untung lu ngomongnya pake suara yg kecil.....'",0,0,0,0,0,0,0,日常情境下对社会新闻的情绪化反应。包含轻度粗口但不构成定向攻击或违法,"tai, sial, jorok"
"*dimall*. Pak, Mama Aku Hilang. Security Bentar Ya. *cek Cek"" Pengumuman U/ Org Tua Asu. Yg Merasa Kehilangan.",0,0,0,0,0,0,0,包含脏话谐音或动物骂人词汇的网络段子，无真实受害者，合规,asu
"// Aduh lucu banget adek kelas gue pas SMA laporan katanya ""bang hari ini kita field trip ke Taman Safari, heran dah (nyebut 1 nama temennya dia) mau arisan ama keluarganya aja bawa 1 sekolahan.""

Tai, arisan.",0,0,0,0,0,0,0,校园日常玩笑与吐槽，包含极轻微的口头语脏话，无恶意,tai
"USER yeah i stalked hahhaa i mmg suka stalk org bodo nak tengok sejauh mana kebodohan dia",0,0,0,0,1,0,0,公开嘲讽并称他人为“愚蠢(bodo)”，属于轻度的网络不友善言论与定向骚扰,bodo
"USER #PakcikDahTUA nak apalah kudrat pakcik ni boleh buat setakat pakai kopiah, minta sedekah jual kismis

#PakcikMudaLagi bila pakcik warna rambut kuning bawak duit banyak2 

#KitaOK kan 

Ini adalah ANJING &gt;&gt;&gt; \xf0\x9f\x90\xbc\xf0\x9f\x90\xbc\xf0\x9f\x90\xbc'",0,0,0,0,1,0,0,对特定人群带有情绪化的贬低，并使用动物脏话(狗/ANJING)进行辱骂，违反反霸凌规范,anjing
"USER Barisan banci kamera klo kata ank zaman now mah \xf0\x9f\x98\x80",0,0,0,0,0,0,0,使用“banci kamera(爱抢镜的人)”这一流行俚语，并非针对LGBTQ群体的恶意攻击，合规,banci
"USER Lo tuh yg bencong, bacot lo lebih2 dari cewe. Kaya banci yg ngamen gak dikasih duit bacotnya \xf0\x9f\x98\x92\xf0\x9f\x98\x92\xf0\x9f\x98\x92
Mending lo cakep mah, jelek Kaya gitu.
Madesu lagi \xf0\x9f\x98\x84\xf0\x9f\x98\x84
Mentioned Gw langsung di quote tweet \xf0\x9f\x91\x8e\xf0\x9f\x91\x8e'",0,0,0,0,1,0,0,极具攻击性的网络霸凌。使用跨性别贬义词与外貌羞辱定向攻击他人,"bencong, bacot, banci, madesu"
"USER Udik lu",0,0,0,0,1,0,0,直接对他人使用贬义词“udik(乡巴佬)”进行辱骂，属于轻度不友善言论,udik
"USER BANGKE TIPONYA PARBET NJIRRR

GAK LIAD GUA CHUW",0,0,0,0,0,0,0,朋友间大写字母的激烈吐槽，包含口语化俚语，无真实攻击意图,"bangke, njirrr"
"USER :"") kasian banget asw'",0,0,0,0,0,0,0,表达同情的网络用语，结尾的“asw(asu/狗)”仅为情绪加强助词，无恶意,asw
"USER eMANG UDIK BFJGFDG GA NGERTI SAMA BOCAH SATU ITU",0,0,0,0,1,0,0,背后议论并使用贬义词(udik)评价他人，属于轻微的网络不友善言论,udik
"USER kucing i kalau terbuka pintu sikit terus panjat pagar \xf0\x9f\x99\x84\xf0\x9f\x99\x84 belajar dr monyet ke apa",0,0,0,0,0,0,0,描述宠物的日常趣事，提及猴子为正常动物指代，完全合规,monyet
"USER anjir lucu banget animasinya :""D dewa'",0,0,0,0,0,0,0,使用带有轻微脏话属性的感叹词(anjir)来高度赞美动画，合规,anjir
"USER Klo gk mau macet pulng aj lo ke kampung sono.. Dsar orng udik.. Masih nyri makan sma buang tai aj lelaguan... #anakjakartaasikasik",0,0,0,0,1,0,0,严重的地域歧视与排外言论。对非本地人进行人身攻击，使用脏话与贬义词，违反反霸凌规范,"udik, tai"
"USER USER USER USER USER USER USER USER USER USER USER \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8fbukan ""KAMPRET TAPI KECOA """" yg hidupnya makan TAI semakin besar bikin penyakit , \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 Cebong mulia semakin besar BASMI NYAMUK hilangkan penyakit \xf0\x9f\x98\x9c\xf0\x9f\x98\x9c\xf0\x9f\x98\x9cmakanye kecoa tu ade obat pembasmi KECOA \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'",0,0,0,0,1,0,0,极端的政治站队对骂。使用印尼大选专属黑话并将政敌物化为虫子，构成网络暴力,"kampret, kecoa, tai, cebong"
"USER Haha lancau semua ni babi betul dah la nak sambung kerja",0,0,0,0,0,0,0,含有生殖器与动物高强度粗口的日常发泄，但不涉及定向网暴，通常不作处理,"lancau, babi"
"USER Anjirr paypal asu bgt ngena fee nya ke aku",0,0,0,0,0,0,0,用户对服务平台收取手续费的口语化吐槽，情绪化脏话针对企业而非个人，合规,"anjirr, asu"
"USER Kampret nih si Jimmy...loe dapet duit dari niru2 ulama, ulama malah loe goblog2in. Loe yg goblog bin Bahlul. Mendingan loe copot tuh atribut2 palsu loe, ganti seragam cebong.....loe bakalan mati sengsara di adzab sama Allah. Aamiin
 Loe liat aje nanti...'",0,0,0,0,1,0,0,结合了政治攻击与宗教诅咒的严重网络霸凌与人身攻击。触犯名誉诽谤及煽动仇恨条款,"kampret, goblog, bahlul, cebong, adzab"
"USER Wkwkwkwk.... bukan gila bang.. mikirin kuping dia..",0,0,0,0,0,0,0,日常隐晦调侃，无直接攻击性词汇，合规,无
"USER Vcs yuk tante kontol gede nih",0,0,1,0,0,0,0,明确的网络性行为招募与露骨性器官展示。严重违反UU ITE第27条第1款与《反色情法》,"vcs, kontol"
"USER USER USER USER USER Bukan cuma bangsa, bajingan anjing. Babi goblog. Itu jauh lebih tepat'",0,0,0,0,1,0,0,高强度的恶毒网络对骂。叠用大量动物脏话与侮辱性词汇定向攻击他人，属于严重的语言暴力,"bajingan, anjing, babi, goblog"
