text,category,misogyny,target
نانسي السبع : أعداد المتظاهرين تتزايد في ساحة رياض الصلح بعد خطاب السيد �� https://t.co/jdhPzyc5KE,none,none,none
@DimaSadek سقط الرئيس الحريري يا هبلة,discredit,misogyny,active
@DimaSadek مدام ديما اذا ممكن تسألي شي خبير اقتصادي مدى قانونية الهندسة المالية التي قام بها حاكم مصرف لبنان لتربيح… https://t.co/QflCTo09K7,none,none,none
@berrynawal الله يحشرك معو يا رب,none,none,none
@DimaSadek ��� يعني انتي وهل كم اهبل اكتشفت البارود ليش وين في جيش بلبنان المحرر غير جيش لبناني يا هبلة,discredit,misogyny,active
@DimaSadek انت معروفة شو انت ومن يوم يومك ممسحة على درج السراي فشرتي إذا بتوصلي لكعب صباط السيد لا انت ولا معلمينك,dominance,misogyny,active
@yumnafawaz يمنى تفضلي على ساحة الشهداء، من هون ما عمنشوف إلا لبنان الجديد بلا الوجوه القديمه، منظر بطير العقل,none,none,none
@DimaSadek ما في احقر منك يا عميلة #ديما_الواطية,discredit,misogyny,active
@DimaSadek ديما صادق احذروها هي ناقوس فتنوي في مشروع مشبوه وبوق اعلامي مأجور انها قرن شيطان احذروها.,discredit,misogyny,active
"@yumnafawaz والله طلعتي درجة
من ربع لسان 
لَ نص لسان 
بهنيكي انا و حابب اتعّرف عليكي دروري",stereotyping & objectification,misogyny,active
@DimaSadek @KhotyarK من اليوم انتِ حُرّة,none,none,none
@DimaSadek سكري بوزك يا عاهره,discredit,misogyny,active
"@DimaSadek  إنتِ أشرَف منن كلن ومن أخلاقن..
#كلنا_ديما_صادق",none,none,none
@DimaSadek #كلنا_ديما_صادق #كلن_يعني_كلن الله يقويكي,none,none,none
@DimaSadek يا حنونه بتخافه عليهن والله لستحو ماتو,none,none,none
@jemnina_1 ما هي الرسالة التي توجه؟ سخافة متل سخافة @DimaSadek,discredit,misogyny,active
RT @abir_zgheib: @DimaSadek سدي نيعك يا واطية,discredit,misogyny,active
@DimaSadek يازعرا انت ههههههه,sexual harassment,misogyny,active
"اخرسي يا نانسي السبع  و خليك بمهنتك الإعلامية و استمعي لكل الآراء و لا تفرضي آراءك على الضيوف و على المداخلات 
هذا… https://t.co/GEHS4gNWEC",discredit,misogyny,active
@DimaSadek والله ما فيه اقوى منك، الله يحميكي,none,none,none
@DimaSadek @yumnafawaz صدقنا انك نزلتي.. ليه ما بقيتي #ديما_الواطية,discredit,misogyny,active
@DimaSadek شو قصتك مع المقاومة لو عنجد بتحبي لبنان روحي شوفي عملاء اسرائيل واكشفي المستور من جماعة جميل وجعجع ومن لف لفيفهم ....,none,none,none
@yumnafawaz المهم زبدة الكلام ع ريت ستي,none,none,none
@DimaSadek صايرة كذابة وموتورة,discredit,misogyny,active
@yumnafawaz الانتقاد بل السياسة حق بس احترام الكبير واجب,none,none,none
"#كلنا_جويل ❤️
@joellebouyounes https://t.co/cpH67eDoBq",none,none,none
"@DimaSadek هني الواطيين حثالة المجتمع 
ما تهكلي للهم",none,none,none
@DimaSadek يا حيوانة ليش مين بعبدا و مين الضاحية,discredit,misogyny,active
@richany_maria @DimaSadek بليز اسكتي من دون ما تلعي نفسنا اكتر من هيك، باسيل و عمو هني الفساد بحد ذاتو,none,none,none
@DimaSadek اديش عم تاخدي عا كل تويت لتبيني هبلععععع,discredit,misogyny,active
@DimaSadek شدي براغي حنكك طول عمرك واطية وعميلة #ديما_الوطية,discredit,misogyny,active
@DimaSadek #ديما_الواطية قريبا حنزورك عبيتك بالروشة,discredit,misogyny,active
@DimaSadek يا حمارة العلم لي عم تسألي عنو مرفوع بالعالي ورح يضل مرفوع بالعالي بس للأسف إنتي واطية كتير مش قادرة تشو… https://t.co/u0hSpk3M7T,discredit,misogyny,active
@DimaSadek ديما هلقد الإصبع عم يعمل فيكي صدقيني ما في داعي تفزعي من شي بس كوني صادقة الكل بيحترمك,none,none,none
@yumnafawaz @lara_msaed رمز الفتنة رتش روحي انضبي,discredit,misogyny,active
شجاعة وصادقة في موقفها @DimaSadek تحية لك https://t.co/n19NIPgxvi,none,none,none
@DimaSadek ست ديما ، الإستقالة لوحدها ما بتكفّي ، بعدها ناقصة ، قوليلهن يمشوا للآخر . يسعد صباحك . �,none,none,none
"@DimaSadek الله يحميكن
ثورة ضد الظلم و الفساد
احنا اهل اليمن قلوبنا معكن

تحياتي الك ديما صادق
و تحية ✋ لكل المشاركين بالمضاهرات",none,none,none
@berrynawal كامل احترامي لكي آنسة نوال الله يعطيكم العافية بتبيضوا الوجه و بترفعوا الرأس بحرفيتكن بالتغطية الله يحميكم,none,none,none
"@sarahhosseinii1 @DimaSadek عفكرة هي ما بتغرّد متل باقي الناس
#بتشنهق �",discredit,misogyny,active
@NicoleHajal @DimaSadek شو حضارية انت !!,none,none,none
RT @HabibHusseinAy1: @DimaSadek يا واطية سألي دريان لمش دريان الله وين حاطو وقت وصل الملف على القضاء طلع قال السنيورة خط احمر ورمز من رموز…,discredit,misogyny,active
@DimaSadek نفايات الكترونية و انت وحدة منن,discredit,misogyny,active
"@DimaSadek ما بدك تشوفي، وفشر انو يسقطوا
#ديما_الواطية https://t.co/Tv9MnV4CFY",discredit,misogyny,active
@yumnafawaz شو يا هبيلة وين استقالة الحكومي يلا خدي � و نامي,discredit,misogyny,active
"@yumnafawaz طلعتي مسترزقة 
ومعاشك من فوايد القرض من مصرف لبنان",none,none,none
@DimaSadek عم بتشرعي حمل السلاح يا حمارة,discredit,misogyny,active
@yumnafawaz ماذا عن هضامتك,none,none,none
@yumnafawaz يا يمنى يعني من الباب للطاقة صارة القصة ؟,none,none,none
"@yumnafawaz اي ورقة اقتصادية بتقدمت  هيدي الطبقة ما الا معنى وعود كذابة من  سنة ١٩٩٠
اول حل انو  يفلو وبعدين  منحكي بوراق",none,none,none
@Jessicaazar انت متل هيدا الأزعر اللي مسكر الطريق  و كان من قبل خوات و بطل خوات و صار هلق لبناني...حرباية,discredit,misogyny,active
@DimaSadek الوثائق اصبحت عند القضاء تفضلي إسألي القضاء,none,none,none
@yumnafawaz بهيدي الطريقة بتحكي مع بيك لرباكي ونعم التربية اذا كان بتعرفي مين الظاهر من حديثك بلا اهل,none,none,none
@DimaSadek انت اكتر وحدة ما بحقلك تحكي عن الشرف...ما تكوني مفكرة الشرف شي بونبونة...لا عيني..الشرف شي ما خصك في...بس تكبري بتفهمي...,discredit,misogyny,active
"لازم كل لبناني بيحب وطنو، يفتخر فيكي من بعد هيك مقدمة
بس للأسف...
@DimaSadek 

Must watch
https://t.co/I01vRPtaIX

 #كلنا_ديما_صادق",none,none,none
@DimaSadek الله يخديك الهي يا حشره,discredit,misogyny,active
@Yosra22920427 @DimaSadek فساد شو ؟!!ما تكون عم تسرق الدولة وتعمل صفقات على حساب الدولة..ما تكون عم تبعت شباب يقوصو… https://t.co/jYLVbYKjSY,none,none,none
@Fatima73611466 @DimaSadek ليه بعد في يطلع غير ع المنار هل الفاشل ..أكيد بعد هل الثورة رح يدمن على المهدئات,none,none,none
@DimaSadek ايه ليه ما حدا عم ينقل نبض الثورة طرابلس !!!,none,none,none
@zna_krm @LBCI_NEWS و قال شو اسمعو عم يهتفو ضد السيد ��‍♀️��‍♀️��‍♀️ الهبلة مش فهماني انو هني ذاتهم الي ضد السيد بع… https://t.co/VQQROMEMMj,discredit,misogyny,active
RT @JKatrib: @DimaSadek سدّي بوزِك، بوزِك سديه #ديما_الواطية https://t.co/XFKjD10AGh,discredit,misogyny,active
@DimaSadek عالجبانة انشالله بتنزلي دغري و بقبرك,damning,misogyny,active
"بتتذكرو بس ديما صادق كشتو للبوق السوري وئام وهاب؟
من يوما صرت حب @DimaSadek #كلنا_ديما_صادق",none,none,none
@YassinYassin313 @yumnafawaz عم بطعموها الها بطاطا ولبنه ولغيرها كبه بالكبايه ...وكنافه علي بابا ���,none,none,none
"@DimaSadek
تلحسي ما تضرسي",discredit,misogyny,active
@DimaSadek @LBCI_NEWS بلا قطعاً من اجري بحديثك،هبلة .,discredit,misogyny,active
@yumnafawaz شكلك هبله. نحن  طوائف مش بلد يا خالصه,discredit,misogyny,active
@yumnafawaz النازحين هي مشكلة من المشاكل يلي عم يواجها لبنان . معك خبر انو في مليونين نازح؟,none,none,none
@berrynawal منحبك نوال,none,none,none
@berrynawal الحمد لله ع سلامتك نوال أنت مثال  المرأة الشجاعة الجريئة يعطيك الف عافيه,none,none,none
@Jessicaazar قناة الثورة التي تعطي صورة رائعة عن لبنان من شماله الى جنوبه,none,none,none
@DimaSadek ايمتا بدك تصيري بنت عيلة وتبطلي تحكي متل ولاد الشوارع انتقدي بحضارية يا سفيهة,discredit,misogyny,active
@RoulaJrady1 @Jessicaazar عم تركب الموجة بحذر شديد.. ذكية جسيكا �,none,none,none
"@DimaSadek انوا مش وقتها. 
دايماً الوضع حساس و مش وقتها",none,none,none
"@DimaSadek يعني اسمالله عليك من وين جايبي كل هالذكا. كل خبرية بتتحفينا فيا بدا أينشتاين ليحللا. برافو
��� https://t.co/7osdfXSSYS",none,none,none
@DimaSadek بحب طمنك جعجع راجع https://t.co/RsTXVWpxvi,none,none,none
@yumnafawaz عاملة فيها المحقق كونان. خليها طالعة طلعتها. بس مش مطولة القصة ليرجعوا على جحورهم,none,none,none
@DimaSadek و المقاومة لا تموت عزيزتي ديما...لأنها من صميم الشعب و روحه الثورية.. تحياتي❤,none,none,none
@yumnafawaz @saadhariri ما شاء الله نبيهة جدا طا شاء الله,none,none,none
@yumnafawaz @saadhariri أنت اذكى صحافية ....,none,none,none
@DimaSadek مين حضرتك لتقولي ممنوع هيدا الشي او مسموح هيدا الشي بعدك ما وصلتي لمترح تأ تبلشي تمنعي نعم لحرية الرأي مهما كان الرأي,none,none,none
"@DimaSadek #ديما_الواطية معلومة قربة لله حرف k بيعني 1000 .
رجعي طلّعي بالأرقام هلأ وخبريني عن شعورك!",discredit,misogyny,active
@DimaSadek احتياط سكري نيعك �,discredit,misogyny,active
@DimaSadek يا اغشم مخلوقات الله .. يا مسخرة التاريخ .. يا تافهة .. يا فاجرة .. و اكتر بكتير .. سماحة السيد اللي صرم… https://t.co/zhd0VAf446,discredit,misogyny,active
@yumnafawaz كتير منيح بكر الحكومة يلي رح يجيبا الشعب رح تاخُدَ بعين الاعتبار الورقة متشككون,none,none,none
@DimaSadek إنسانة وصولية انتهازية متلك يجب طردها من ساحات الحرية. سوري عا كلمة إنسانة ���� كل عمرك نايمة بأحضان الس… https://t.co/x4lZBJZvSo,discredit,misogyny,active
@AbdooYaraa @DimaSadek نقلعة انت وياها العمى بقلبك شو بلا شرف,none,none,none
@yumnafawaz نطقتي بالحق فهاجموكي,none,none,none
"@DimaSadek بدي اعرف من وين بتجيبي هضامتك من أي مجرور ؟ 
سم لعم تبخيه عم يطلع فيكي 
ابكي بترتاحي",stereotyping & objectification,misogyny,active
@DimaSadek انشالله @KazwiniM بيقبرك و برتاح من قرفك و هبلك ��,damning,misogyny,active
@DimaSadek تلحسي مفكري حالك بتفهمي و الحشا بينك و بين الفهم مسافة ما بتوصليلها,discredit,misogyny,active
@DimaSadek العمى بقلبك ما اسخفك...لو في علم الحزب كنت قلتي وين علم لبنان...عنجد انك حاقدة,discredit,misogyny,active
@LbciLebanon @DimaSadek احلا ديما صادق,none,none,none
@yumnafawaz انت عم بتقوليها بس بلسان غيرك والا ما كان في لزوم تحطيها.,none,none,none
@zTeBUwQfuLXDaCO @KSaghieh @DimaSadek هيدي حجة كل السلطات على مدى كل الثورات و الاحتجاجات ، التهديد بالفراغ ،,none,none,none
@LayalElAli5 @DimaSadek احلا عالم @DimaSadek لازم تكون وزيرة الثقافه والسياحه❤️,none,none,none
@DimaSadek يا ريتو تارقك بشي انينه او صرمايه على وجك,threat of violence,misogyny,active
@DimaSadek الله محييكم والله يحميكم,none,none,none
@DimaSadek بكرا بس تاكل سحسوح على الحواجز الطائفية بتشفى,threat of violence,misogyny,active
@alimouinjaber @DimaSadek اللي بيحط راسو بالتراب وماعنده اي كلام يحكيه عن الفاسدين يكف بلاه عن اللي بيحكي… https://t.co/9WC9e3PXeC,none,none,none
@yumnafawaz خلي التعليق لحدا بيفهم ، انتي انضبي يا مجوية,discredit,misogyny,active
@yumnafawaz إنت شو محلك من الاعراب لحتى تحكي على سيدك وتاج راسك . لعمى بقلبك سكري بوزك وحاجي تحكي,discredit,misogyny,active
@DimaSadek واطية عن جد واطية,discredit,misogyny,active
@DimaSadek اه والله انك صادقة,none,none,none
@DimaSadek يعيش حزب الله حالة تخبط غير مسبوقة، على وقع احتجاجات في كل لبنان، لا سيما في البيئة الحاضنة والتي لم تشه… https://t.co/ieDEQgB4Hi,none,none,none
@yumnafawaz صدقيني ما حدا مقصر بحدا,none,none,none
@yumnafawaz من شتم.  ومن. اهان. اي. شخص. هو يمثل نفسه فقط. طرابلس. مدينة. العيش المشترك. والاخلاق والروح. الوطنية,none,none,none
@berrynawal يسلم تمك,none,none,none
@yumnafawaz بلا ما تفسري مين عم تشرجي التلفون او من اين كل هذه الموائد الشي واضح وكلنا منعرف من اين لكم هذا,none,none,none
@DimaSadek اجري فيك شو انك حيوانة بس...الحيوان انظف منك.. الهي يفقعك جلطة تاخدك و تريحنا من قرفك. انت الوحيدة اللي بفرح لما سبها.,derailing,misogyny,active
RT @Fadak11118481: @DimaSadek حرام بشفق عليكي كنت اسمع انك فاضية عذرا من كلمتي بس ما كنت صدق لان بنظري انه لو خالفني الرأي احدهم ولكن بيبقى…,none,none,none
"@DimaSadek تافهة منحطة وبايخة 
#لعبي_عقدك",discredit,misogyny,active
@HassanRamlawi @DimaSadek الله يحميلك عيلتك,none,none,none
@DimaSadek منعرف انك معاقة و هلق تاكدنا انك طرشا,stereotyping & objectification,misogyny,active
